title,authors,language_code
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,eng
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,eng
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,eng
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,eng
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,eng
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,en-US
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,eng
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,eng
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,eng
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,eng
A Short History of Nearly Everything,Bill Bryson,eng
Bill Bryson's African Diary,Bill Bryson,eng
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,eng
In a Sunburned Country,Bill Bryson,eng
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,eng
The Lost Continent: Travels in Small Town America,Bill Bryson,eng
Neither Here nor There: Travels in Europe,Bill Bryson,eng
Notes from a Small Island,Bill Bryson,eng
The Mother Tongue: English and How It Got That Way,Bill Bryson,eng
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,eng
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,eng
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,eng
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,en-US
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,eng
The Lord of the Rings: Complete Visual Companion,Jude Fisher,eng
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,eng
Hatchet (Brian's Saga  #1),Gary Paulsen,eng
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,eng
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,eng
Molly Hatchet - 5 of the Best,Molly Hatchet,eng
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,en-US
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,eng
Changeling (Changeling  #1),Delia Sherman,eng
The Changeling Sea,Patricia A. McKillip,eng
The Changeling,Zilpha Keatley Snyder,eng
The Changeling,Kate Horsley,eng
The Changeling (Daughters of England  #15),Philippa Carr,eng
The Known World,Edward P. Jones,eng
The Known World,Edward P. Jones/Kevin R. Free,en-US
The Known World,Edward P. Jones,eng
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,eng
Artesia: Adventures in the Known World,Mark Smylie,eng
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,eng
Uncommon Carriers,John McPhee,en-US
Heirs of General Practice,John McPhee,eng
The Control of Nature,John McPhee,en-US
Annals of the Former World,John McPhee,eng
Coming Into the Country,John McPhee,eng
La Place de la Concorde Suisse,John McPhee,fre
Giving Good Weight,John McPhee,eng
Rising from the Plains,John McPhee,eng
The Heidi Chronicles,Wendy Wasserstein,eng
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,eng
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,eng
Simply Beautiful Beaded Jewelry,Heidi Boyd,en-US
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,eng
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,en-US
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,eng
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,eng
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,eng
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,eng
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,eng
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,en-US
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,eng
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,eng
Dune Messiah (Dune Chronicles #2),Frank Herbert,eng
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,en-US
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,eng
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,eng
Heretics of Dune (Dune Chronicles #5),Frank Herbert,eng
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,eng
The Power of One (The Power of One  #1),Bryce Courtenay,eng
The Power of One (The Power of One  #1),Bryce Courtenay,eng
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,en-US
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,eng
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,eng
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,eng
eBay for Dummies,Marsha Collier,eng
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,eng
Starting an eBay Business for Dummies,Marsha Collier,eng
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,eng
ebay Timesaving Techniques for Dummies,Marsha Collier,en-US
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,en-US
